open_ms	open	high	low	close	volume	close_ms
1738886400000	0.7052	0.7532	0.6902	0.7072	206190185.9	1738972799999
1738972800000	0.7072	0.718	0.6815	0.7005	106440011.1	1739059199999
1739059200000	0.7006	0.716	0.6503	0.6814	145972643.5	1739145599999
1739145600000	0.6815	0.7245	0.6632	0.7121	168781925.4	1739231999999
1739232000000	0.7121	0.8213	0.7101	0.7781	364029512.7	1739318399999
1739318400000	0.7782	0.8079	0.7448	0.7997	271335009.3	1739404799999
1739404800000	0.7998	0.8309	0.7693	0.8107	148408733.0	1739491199999
1739491200000	0.8107	0.8293	0.7891	0.7998	144880343.5	1739577599999
1739577600000	0.7997	0.8141	0.7745	0.7811	72649439.8	1739663999999
1739664000000	0.7811	0.7893	0.7615	0.7714	62651373.5	1739750399999
1739750400000	0.7714	0.8291	0.7705	0.8089	193681003.3	1739836799999
1739836800000	0.8089	0.814	0.7351	0.7541	173068755.8	1739923199999
1739923200000	0.7542	0.7761	0.7328	0.7738	118560241.8	1740009599999
1740009600000	0.7737	0.8111	0.7703	0.8036	123013598.3	1740095999999
1740096000000	0.8036	0.8187	0.7501	0.7621	176129521.6	1740182399999
1740182400000	0.7622	0.7845	0.7571	0.7734	70048824.6	1740268799999
1740268800000	0.7733	0.7883	0.7596	0.7697	68066469.6	1740355199999
1740355200000	0.7698	0.7774	0.67	0.6816	187852768.2	1740441599999
1740441600000	0.6816	0.695	0.6302	0.6832	314619948.7	1740527999999
1740528000000	0.6832	0.6954	0.6312	0.6474	188683060.2	1740614399999
1740614400000	0.6475	0.6798	0.6263	0.6451	119338095.8	1740700799999
1740700800000	0.6451	0.6466	0.5801	0.6328	258110432.8	1740787199999
1740787200000	0.6328	0.677	0.6252	0.6593	101845318.3	1740873599999
1740873600000	0.6593	1.1488	0.645	1.135	1462027409.9	1740959999999
1740960000000	1.1349	1.1747	0.8228	0.8578	1410346466.6	1741046399999
1741046400000	0.8577	0.9562	0.7576	0.9409	1103033777.6	1741132799999
1741132800000	0.9409	1.0278	0.9136	0.9741	684542897.2	1741219199999
1741219200000	0.9741	0.9886	0.8854	0.9065	426709138.1	1741305599999
1741305600000	0.9065	0.9206	0.8064	0.8181	789791963.0	1741391999999
1741392000000	0.818	0.8392	0.7931	0.8052	195763913.6	1741478399999
1741478400000	0.8052	0.8176	0.709	0.7215	341584369.9	1741564799999
1741564800000	0.7216	0.7786	0.6582	0.6712	452130529.1	1741651199999
1741651200000	0.6711	0.7444	0.6471	0.7241	418368477.7	1741737599999
1741737600000	0.724	0.77	0.7111	0.736	272406998.1	1741823999999
1741824000000	0.736	0.742	0.6909	0.703	264883435.2	1741910399999
1741910400000	0.703	0.7514	0.6963	0.7373	200723012.3	1741996799999
1741996800000	0.7372	0.7594	0.7309	0.7468	134638523.2	1742083199999
1742083200000	0.7468	0.7473	0.6936	0.7049	166304049.4	1742169599999
1742169600000	0.7049	0.732	0.7024	0.7175	124793194.3	1742255999999
1742256000000	0.7175	0.7184	0.6816	0.7017	124187049.1	1742342399999
1742342400000	0.7017	0.747	0.7003	0.7436	203333627.3	1742428799999
1742428800000	0.7436	0.7554	0.712	0.718	163787969.9	1742515199999
1742515200000	0.7179	0.7277	0.7006	0.705	99337577.7	1742601599999
1742601600000	0.705	0.7161	0.6971	0.7014	58014666.0	1742687999999
1742688000000	0.7015	0.716	0.6917	0.7107	83791747.2	1742774399999
1742774400000	0.7106	0.7452	0.7055	0.732	164891536.5	1742860799999
1742860800000	0.732	0.7666	0.7209	0.7448	191707229.1	1742947199999
1742947200000	0.7447	0.7744	0.7197	0.7287	166873889.6	1743033599999
1743033600000	0.7288	0.7444	0.7209	0.7381	78374162.9	1743119999999
1743120000000	0.7381	0.7465	0.6895	0.7062	140942745.6	1743206399999
