open_ms	open	high	low	close	volume	close_ms
1613347200000	0.84288	1.2	0.6856	1.09894	5163915970.53	1613951999999
1613952000000	1.09955	1.488	0.81	1.31203	10266355257.6	1614556799999
1614556800000	1.31279	1.348	1.03374	1.13042	4490686655.5	1615161599999
1615161600000	1.13073	1.22	0.985	1.05243	3071858133.3	1615766399999
1615766400000	1.05241	1.47299	1.0	1.18561	5710415456.6	1616371199999
1616371200000	1.18561	1.28755	1.038	1.18983	2781436657.2	1616975999999
1616976000000	1.18983	1.24796	1.151	1.18206	1868790426.5	1617580799999
1617580800000	1.18205	1.34359	1.1588	1.26355	2565071717.9	1618185599999
1618185600000	1.26376	1.55845	1.07204	1.27693	4321705702.5	1618790399999
1618790400000	1.27655	1.32443	0.92	1.0913	3603171593.35	1619395199999
1619395200000	1.091	1.4117	1.0793	1.3267	2569820158.88	1619999999999
1620000000000	1.3267	1.833	1.2557	1.7663	4680375948.27	1620604799999
1620604800000	1.7662	2.47	1.5	2.3002	6666591737.5	1621209599999
1621209600000	2.3002	2.329	1.01	1.3139	8764599408.35	1621814399999
1621814400000	1.3135	1.832	1.2476	1.5751	5446595743.42	1622419199999
1622419200000	1.5751	1.8897	1.5249	1.6771	3137175021.59	1623023999999
1623024000000	1.6771	1.7414	1.3562	1.5566	2754349999.94	1623628799999
1623628800000	1.5563	1.6109	1.306	1.4263	1501408871.56	1624233599999
1624233600000	1.4262	1.4371	1.0001	1.338	3434817779.27	1624838399999
1624838400000	1.3379	1.4955	1.2825	1.4615	1587104439.69	1625443199999
1625443200000	1.4615	1.4616	1.2859	1.3485	1009982010.63	1626047999999
1626048000000	1.3485	1.3736	1.1497	1.1813	928479637.42	1626652799999
1626652800000	1.1814	1.2487	1.0202	1.2284	1250461227.47	1627257599999
1627257600000	1.2283	1.3991	1.2136	1.3142	1484944329.61	1627862399999
1627862400000	1.3145	1.4941	1.2613	1.4255	1330679881.11	1628467199999
1628467200000	1.4256	2.25	1.3933	2.1667	3040969659.49	1629071999999
1629072000000	2.1667	2.7212	1.87	2.7049	3225058754.6	1629676799999
1629676800000	2.705	2.9719	2.47	2.851	3154134672.27	1630281599999
1630281600000	2.85	3.101	2.702	2.91	1651793723.77	1630886399999
1630886400000	2.911	2.927	2.0	2.581	3461118765.47	1631491199999
1631491200000	2.58	2.593	2.259	2.283	1438932215.4	1632095999999
1632096000000	2.283	2.459	1.9101	2.207	2304024890.03	1632700799999
1632700800000	2.206	2.322	2.02	2.251	1045428824.7	1633305599999
1633305600000	2.251	2.375	2.111	2.189	1086043786.3	1633910399999
1633910400000	2.189	2.25	2.071	2.158	936331506.9	1634515199999
1634515200000	2.158	2.298	2.092	2.12	895213731.9	1635119999999
1635120000000	2.119	2.202	1.804	1.964	1324710688.2	1635724799999
1635724800000	1.965	2.144	1.911	2.021	1074734044.2	1636329599999
1636329600000	2.02	2.378	1.932	2.04	1704681819.4	1636934399999
1636934400000	2.04	2.095	1.701	1.835	1152254454.99	1637539199999
1637539200000	1.835	1.839	1.416	1.594	1468440478.25	1638143999999
1638144000000	1.595	1.76	1.188	1.378	2098193664.94	1638748799999
1638748800000	1.378	1.479	1.192	1.346	1451538155.2	1639353599999
1639353600000	1.345	1.357	1.182	1.243	991153021.7	1639958399999
1639958400000	1.244	1.491	1.201	1.455	941744085.9	1640563199999
1640563200000	1.455	1.594	1.281	1.377	971041789.8	1641167999999
1641168000000	1.378	1.378	1.124	1.17	1009759813.88	1641772799999
1641772800000	1.17	1.422	1.069	1.41	1100836349.44	1642377599999
1642377600000	1.411	1.638	0.917	1.124	2812591704.12	1642982399999
1642982400000	1.124	1.157	0.951	1.035	1477078581.6	1643587199999
1643587200000	1.035	1.178	1.006	1.143	846160430.5	1644191999999
1644192000000	1.142	1.263	1.029	1.042	1240413393.1	1644796799999
1644796800000	1.043	1.115	0.919	0.931	890870858.4	1645401599999
1645401600000	0.931	0.993	0.746	0.856	1861078711.36	1646006399999
1646006400000	0.857	1.011	0.818	0.823	1029260305.2	1646611199999
1646611200000	0.822	0.863	0.777	0.786	727828988.2	1647215999999
1647216000000	0.787	0.916	0.776	0.879	757004959.6	1647820799999
1647820800000	0.879	1.19	0.863	1.184	1609921453.3	1648425599999
1648425600000	1.184	1.246	1.104	1.186	1141589366.1	1649030399999
1649030400000	1.186	1.245	1.019	1.027	857858984.1	1649635199999
1649635200000	1.026	1.033	0.912	0.914	563747252.0	1650239999999
1650240000000	0.914	0.976	0.874	0.886	559096612.5	1650844799999
1650844800000	0.885	0.9039	0.7351	0.7895	1056797858.24	1651449599999
1651449600000	0.7894	0.9058	0.7254	0.7403	1392964225.19	1652054399999
1652054400000	0.7404	0.7542	0.4019	0.5981	3254890624.31	1652659199999
1652659200000	0.5982	0.6146	0.4917	0.5416	1232176123.7	1653263999999
1653264000000	0.5416	0.5595	0.4454	0.482	1200521474.7	1653868799999
1653868800000	0.4819	0.6893	0.4772	0.5674	1994815710.3	1654473599999
1654473600000	0.5675	0.6696	0.4893	0.4904	2237445399.4	1655078399999
1655078400000	0.4904	0.5472	0.4206	0.4848	3268234452.7	1655683199999
1655683200000	0.4849	0.526	0.4559	0.4899	1539319643.4	1656287999999
1656288000000	0.4899	0.5088	0.4352	0.4561	1081955025.0	1656892799999
1656892800000	0.456	0.493	0.4445	0.4624	1036801870.1	1657497599999
1657497600000	0.4625	0.466	0.4023	0.4478	1264214983.9	1658102399999
1658102400000	0.4478	0.5487	0.4457	0.512	2055044805.1	1658707199999
1658707200000	0.512	0.556	0.451	0.5161	1777879624.3	1659311999999
1659312000000	0.5161	0.5385	0.4886	0.5276	870757221.7	1659916799999
1659916800000	0.5276	0.5948	0.502	0.5695	1164983887.7	1660521599999
1660521600000	0.5695	0.5834	0.4347	0.4626	1412171407.5	1661126399999
1661126400000	0.4627	0.482	0.4257	0.4293	1232453727.9	1661731199999
1661731200000	0.4293	0.51	0.4236	0.5035	1029309459.4	1662335999999
1662336000000	0.5035	0.5242	0.4536	0.5098	1131657710.0	1662940799999
1662940800000	0.5098	0.5197	0.4403	0.4477	1005059880.3	1663545599999
1663545600000	0.4477	0.4825	0.4313	0.4464	1175003251.7	1664150399999
1664150400000	0.4462	0.4633	0.4176	0.4194	783673518.2	1664755199999
1664755200000	0.4195	0.4377	0.4158	0.423	554126248.6	1665359999999
1665360000000	0.423	0.4268	0.349	0.3703	895165517.31	1665964799999
1665964800000	0.3703	0.3758	0.33	0.3621	649814632.28	1666569599999
1666569600000	0.3621	0.44	0.3533	0.4056	1237673246.5	1667174399999
1667174400000	0.4057	0.4378	0.38	0.4021	982341487.7	1667779199999
1667779200000	0.4021	0.4161	0.31	0.3298	1734931050.9	1668383999999
1668384000000	0.3299	0.3449	0.31	0.312	681155590.1	1668988799999
1668988800000	0.312	0.3228	0.2953	0.3126	688589873.09	1669593599999
1669593600000	0.3126	0.3265	0.3	0.3221	564423278.0	1670198399999
1670198400000	0.3222	0.329	0.3051	0.3074	371136146.9	1670803199999
1670803200000	0.3073	0.3187	0.255	0.2659	837814399.7	1671407999999
1671408000000	0.266	0.2694	0.2465	0.2591	513338630.86	1672012799999
1672012800000	0.259	0.2665	0.2392	0.2499	550451467.9	1672617599999
1672617600000	0.2499	0.299	0.2466	0.2974	817753789.4	1673222399999
1673222400000	0.2975	0.3697	0.2955	0.3507	1554255618.8	1673827199999
1673827200000	0.3508	0.3872	0.3237	0.3764	1073804634.2	1674431999999
1674432000000	0.3764	0.3991	0.3469	0.3975	893043204.7	1675036799999
1675036800000	0.3976	0.4136	0.3652	0.3923	919204057.9	1675641599999
1675641600000	0.3923	0.4035	0.3534	0.3641	679481856.7	1676246399999
1676246400000	0.3641	0.4213	0.345	0.3995	909073432.4	1676851199999
1676851200000	0.3994	0.4098	0.3512	0.3691	733251351.1	1677455999999
1677456000000	0.369	0.3702	0.3212	0.337	570399967.4	1678060799999
1678060800000	0.337	0.3387	0.2976	0.3298	981293198.5	1678665599999
1678665600000	0.3298	0.3677	0.3157	0.3448	1369200309.4	1679270399999
1679270400000	0.3448	0.387	0.3291	0.3557	1228323460.9	1679875199999
1679875200000	0.3558	0.4093	0.3366	0.3815	1079629539.3	1680479999999
1680480000000	0.3816	0.405	0.3708	0.3894	702805045.6	1681084799999
1681084800000	0.3893	0.4617	0.3847	0.4513	1063487405.4	1681689599999
1681689600000	0.4512	0.4515	0.3789	0.3886	925730713.6	1682294399999
1682294400000	0.3887	0.4193	0.3761	0.3956	740302627.8	1682899199999
1682899200000	0.3957	0.3979	0.3735	0.376	538103423.2	1683503999999
1683504000000	0.376	0.3796	0.3485	0.3711	663541809.6	1684108799999
1684108800000	0.371	0.3807	0.3566	0.3602	431996492.6	1684713599999
1684713600000	0.3602	0.3846	0.3535	0.3828	385131568.2	1685318399999
1685318400000	0.3828	0.3863	0.3608	0.3773	431172231.1	1685923199999
1685923200000	0.3773	0.3791	0.22	0.272	1724740908.2	1686527999999
1686528000000	0.2719	0.2896	0.2525	0.261	896223294.0	1687132799999
1687132800000	0.261	0.305	0.2522	0.2921	846203453.3	1687737599999
1687737600000	0.292	0.2997	0.2599	0.2916	840348075.3	1688342399999
1688342400000	0.2916	0.3016	0.2761	0.2844	731168732.2	1688947199999
1688947200000	0.2843	0.3793	0.2781	0.3146	1372601338.2	1689551999999
1689552000000	0.3145	0.3332	0.2996	0.3171	834346127.1	1690156799999
1690156800000	0.3172	0.319	0.3	0.3156	476907090.9	1690761599999
1690761600000	0.3157	0.319	0.2888	0.2923	435382628.8	1691366399999
1691366400000	0.2922	0.3026	0.2818	0.2894	389167703.5	1691971199999
1691971200000	0.2895	0.2927	0.238	0.2703	625273256.4	1692575999999
1692576000000	0.2703	0.2725	0.25	0.2634	471318506.3	1693180799999
1693180800000	0.2635	0.2802	0.2492	0.2559	515451853.4	1693785599999
1693785600000	0.2559	0.2612	0.2423	0.249	358380492.5	1694390399999
1694390400000	0.2491	0.2552	0.2367	0.2471	367504933.3	1694995199999
1694995200000	0.2471	0.258	0.2416	0.2427	363426020.9	1695599999999
1695600000000	0.2428	0.2679	0.2404	0.2659	365038325.6	1696204799999
1696204800000	0.2659	0.2696	0.2525	0.2563	385418456.8	1696809599999
1696809600000	0.2564	0.2586	0.2422	0.2473	331905308.6	1697414399999
1697414400000	0.2474	0.2644	0.2394	0.2639	419788919.3	1698019199999
1698019200000	0.264	0.2986	0.2616	0.2954	683966091.5	1698623999999
1698624000000	0.2955	0.35	0.2839	0.3419	878512815.2	1699228799999
1699228800000	0.3419	0.3951	0.3335	0.3834	1295035137.4	1699833599999
1699833600000	0.3835	0.4095	0.34	0.384	1127252560.5	1700438399999
1700438400000	0.384	0.3994	0.3551	0.3873	689534863.8	1701043199999
1701043200000	0.3874	0.403	0.3693	0.3949	494830361.1	1701647999999
1701648000000	0.3948	0.6474	0.3911	0.5948	2320418391.7	1702252799999
1702252800000	0.5947	0.68	0.5106	0.5804	2118047814.6	1702857599999
1702857600000	0.5805	0.6513	0.5435	0.5919	1386662662.3	1703462399999
1703462400000	0.5919	0.6769	0.5601	0.594	1331297984.2	1704067199999
1704067200000	0.5939	0.637	0.4877	0.4945	1106891521.2	1704671999999
1704672000000	0.4945	0.6174	0.4643	0.5251	1258876400.6	1705276799999
1705276800000	0.5251	0.5482	0.4713	0.5032	548193675.3	1705881599999
1705881600000	0.5031	0.5063	0.4477	0.4903	761988736.8	1706486399999
1706486400000	0.4903	0.5367	0.4836	0.4934	713797892.9	1707091199999
1707091200000	0.4933	0.5654	0.4727	0.5414	986916040.8	1707695999999
1707696000000	0.5415	0.6391	0.5306	0.6193	1166049956.4	1708300799999
1708300800000	0.6194	0.6414	0.568	0.5914	956953146.9	1708905599999
1708905600000	0.5913	0.7638	0.5732	0.7279	1947291480.0	1709510399999
1709510400000	0.728	0.7986	0.571	0.7166	1988682308.9	1710115199999
1710115200000	0.7165	0.8104	0.6288	0.6814	1917136405.3	1710719999999
1710720000000	0.6814	0.699	0.5689	0.6468	1288171628.0	1711324799999
1711324800000	0.6469	0.6837	0.6301	0.6501	772399721.0	1711929599999
1711929600000	0.6501	0.6515	0.5588	0.5892	831375863.2	1712534399999
1712534400000	0.5893	0.6242	0.3994	0.4673	1764036973.0	1713139199999
1713139200000	0.4673	0.5126	0.4227	0.4993	1248114524.8	1713743999999
1713744000000	0.4994	0.5225	0.444	0.4603	720508454.2	1714348799999
1714348800000	0.4602	0.4759	0.4184	0.458	684674952.4	1714953599999
1714953600000	0.4579	0.4757	0.4331	0.4377	592153427.9	1715558399999
1715558400000	0.4378	0.4907	0.4251	0.4672	574991848.2	1716163199999
1716163200000	0.4672	0.5106	0.444	0.4581	738275901.6	1716767999999
1716768000000	0.4581	0.475	0.4406	0.4465	509292939.2	1717372799999
1717372800000	0.4465	0.49	0.4253	0.4442	631480694.7	1717977599999
1717977600000	0.4442	0.4513	0.4	0.4168	659543909.9	1718582399999
1718582400000	0.4167	0.421	0.3575	0.38	717106438.2	1719187199999
1719187200000	0.3801	0.4039	0.361	0.3924	568257029.6	1719791999999
1719792000000	0.3925	0.4235	0.3165	0.3466	875186420.4	1720396799999
1720396800000	0.3467	0.4464	0.3301	0.4317	701785780.2	1721001599999
1721001600000	0.4317	0.457	0.4145	0.4469	658191138.9	1721606399999
1721606400000	0.447	0.4504	0.3816	0.4073	669973118.7	1722211199999
1722211200000	0.4072	0.4272	0.3335	0.3442	615256230.2	1722815999999
1722816000000	0.3442	0.3566	0.2756	0.3276	1100531727.1	1723420799999
1723420800000	0.3276	0.3457	0.3202	0.3342	406858574.0	1724025599999
1724025600000	0.3342	0.4014	0.3276	0.3849	559519710.1	1724630399999
1724630400000	0.3849	0.388	0.3267	0.3311	546765438.1	1725235199999
1725235200000	0.331	0.3409	0.3034	0.339	631920685.2	1725839999999
1725840000000	0.339	0.365	0.33	0.3385	462101949.4	1726444799999
1726444800000	0.3386	0.3613	0.3264	0.3517	442331739.0	1727049599999
1727049600000	0.3516	0.4158	0.3453	0.3975	554354017.6	1727654399999
1727654400000	0.3976	0.3977	0.3318	0.3575	544889008.3	1728259199999
1728259200000	0.3574	0.3685	0.3315	0.3486	384616599.7	1728863999999
1728864000000	0.3485	0.3711	0.3393	0.3649	564303761.2	1729468799999
1729468800000	0.3649	0.3729	0.3141	0.3399	660488043.8	1730073599999
1730073600000	0.3398	0.364	0.3275	0.3341	682725579.0	1730678399999
1730678400000	0.334	0.6599	0.3201	0.5901	2454840005.5	1731283199999
1731283200000	0.5903	0.8193	0.5192	0.7026	4736724385.6	1731887999999
1731888000000	0.7026	1.1542	0.7002	1.0226	4488235365.3	1732492799999
