open_ms	open	high	low	close	volume	close_ms
1738886400000	24.5	26.22	23.71	24.46	2801287.99	1738972799999
1738972800000	24.46	24.82	23.91	24.58	1241644.47	1739059199999
1739059200000	24.59	25.52	23.66	24.87	1924433.81	1739145599999
1739145600000	24.87	25.99	23.86	25.67	2019175.78	1739231999999
1739232000000	25.66	27.02	24.88	25.39	2096874.29	1739318399999
1739318400000	25.39	27.09	24.29	26.49	2870270.45	1739404799999
1739404800000	26.5	26.62	25.09	25.39	1590769.95	1739491199999
1739491200000	25.4	27.23	25.3	26.39	1934433.81	1739577599999
1739577600000	26.38	26.97	25.38	25.48	880943.46	1739663999999
1739664000000	25.49	25.59	24.74	24.85	1050638.52	1739750399999
1739750400000	24.86	25.95	24.43	25.03	1756982.01	1739836799999
1739836800000	25.04	25.12	22.93	23.52	2182686.86	1739923199999
1739923200000	23.53	24.02	22.98	23.74	1684111.7	1740009599999
1740009600000	23.73	25.35	23.72	25.15	2019666.25	1740095999999
1740096000000	25.15	26.54	23.77	24.54	3693083.33	1740182399999
1740182400000	24.54	26.37	24.44	25.83	2159273.44	1740268799999
1740268800000	25.84	25.98	24.4	24.85	1371001.72	1740355199999
1740355200000	24.85	25.18	21.47	21.88	2988167.3	1740441599999
1740441600000	21.88	22.34	20.3	21.94	5702796.73	1740527999999
1740528000000	21.94	22.59	21.0	21.87	3583388.79	1740614399999
1740614400000	21.88	23.39	21.65	22.52	2709549.54	1740700799999
1740700800000	22.53	22.61	20.23	22.37	4866833.75	1740787199999
1740787200000	22.38	22.5	21.05	21.86	1582538.68	1740873599999
1740873600000	21.87	24.99	21.56	24.95	5943544.61	1740959999999
1740960000000	24.95	25.12	20.58	20.95	5065494.28	1741046399999
1741046400000	20.96	21.11	18.84	20.0	7079770.52	1741132799999
1741132800000	19.99	22.48	19.69	21.73	5087934.65	1741219199999
1741219200000	21.73	22.57	20.89	20.99	3392070.57	1741305599999
1741305600000	21.0	21.32	19.68	20.14	4832190.14	1741391999999
1741392000000	20.14	21.1	19.42	20.49	2408378.09	1741478399999
1741478400000	20.5	20.69	17.76	17.97	2853469.06	1741564799999
1741564800000	17.98	19.06	16.14	16.26	5594677.27	1741651199999
1741651200000	16.26	17.91	15.27	17.51	7468057.14	1741737599999
1741737600000	17.51	18.98	16.95	18.91	3790676.49	1741823999999
1741824000000	18.92	19.33	17.73	18.5	3010210.36	1741910399999
1741910400000	18.51	19.31	18.46	18.58	2623693.56	1741996799999
1741996800000	18.58	19.47	18.37	19.4	2550418.34	1742083199999
1742083200000	19.39	19.85	18.12	18.25	2170899.75	1742169599999
1742169600000	18.26	19.09	18.2	18.82	1988333.14	1742255999999
1742256000000	18.83	19.28	18.32	18.97	2168023.22	1742342399999
1742342400000	18.97	20.1	18.84	19.74	3243124.39	1742428799999
1742428800000	19.74	19.86	18.41	18.74	1835276.74	1742515199999
1742515200000	18.75	19.49	18.36	19.18	1398814.97	1742601599999
1742601600000	19.19	19.74	19.08	19.43	1024746.34	1742687999999
1742688000000	19.43	19.85	19.31	19.82	931913.86	1742774399999
1742774400000	19.82	22.14	19.78	21.48	3286114.76	1742860799999
1742860800000	21.49	23.46	21.29	22.9	2480199.49	1742947199999
