open_ms,open,high,low,close,volume,close_ms
1766808000000,12.42,12.43,12.38,12.4,15495.46,1766811599999
1766811600000,12.39,12.45,12.39,12.44,49329.03,1766815199999
1766815200000,12.44,12.45,12.4,12.42,25871.3,1766818799999
1766818800000,12.42,12.47,12.41,12.46,66930.85,1766822399999
1766822400000,12.45,12.49,12.44,12.47,37178.62,1766825999999
1766826000000,12.46,12.48,12.42,12.43,40237.29,1766829599999
1766829600000,12.42,12.45,12.39,12.45,32277.63,1766833199999
1766833200000,12.44,12.48,12.43,12.47,57425.08,1766836799999
1766836800000,12.47,12.5,12.46,12.49,59337.16,1766840399999
1766840400000,12.49,12.49,12.44,12.49,35615.66,1766843999999
1766844000000,12.49,12.54,12.48,12.51,124066.63,1766847599999
1766847600000,12.52,12.58,12.5,12.55,128471.7,1766851199999
1766851200000,12.56,12.61,12.55,12.58,135287.94,1766854799999
1766854800000,12.57,12.59,12.54,12.57,51120.69,1766858399999
1766858400000,12.57,12.58,12.5,12.53,27200.14,1766861999999
1766862000000,12.53,12.55,12.51,12.53,24413.08,1766865599999
1766865600000,12.53,12.58,12.53,12.54,28211.16,1766869199999
1766869200000,12.54,12.7,12.54,12.6,78470.11,1766872799999
1766872800000,12.61,12.66,12.54,12.57,67641.31,1766876399999
1766876400000,12.58,12.8,12.56,12.69,182813.08,1766879999999
1766880000000,12.7,12.76,12.7,12.74,143764.71,1766883599999
1766883600000,12.75,12.79,12.73,12.77,133826.83,1766887199999
1766887200000,12.76,12.9,12.76,12.79,282433.36,1766890799999
1766890800000,12.78,12.83,12.75,12.79,104010.37,1766894399999
1766894400000,12.79,12.85,12.78,12.8,58301.46,1766897999999
1766898000000,12.8,12.83,12.78,12.81,36372.49,1766901599999
1766901600000,12.81,12.85,12.8,12.83,37773.55,1766905199999
1766905200000,12.83,12.85,12.76,12.79,65159.08,1766908799999
1766908800000,12.79,12.86,12.79,12.82,39772.81,1766912399999
1766912400000,12.81,12.82,12.74,12.75,35210.06,1766915999999
1766916000000,12.75,12.79,12.74,12.75,19383.54,1766919599999
1766919600000,12.76,12.77,12.67,12.69,71959.14,1766923199999
1766923200000,12.69,12.7,12.58,12.68,125278.13,1766926799999
1766926800000,12.68,12.7,12.65,12.67,59022.11,1766930399999
1766930400000,12.67,12.77,12.65,12.74,61775.15,1766933999999
1766934000000,12.74,12.77,12.71,12.73,35430.33,1766937599999
1766937600000,12.74,12.75,12.68,12.7,34981.91,1766941199999
1766941200000,12.7,12.73,12.67,12.68,20312.49,1766944799999
1766944800000,12.68,12.69,12.58,12.59,120016.03,1766948399999
1766948400000,12.59,12.64,12.57,12.58,55141.74,1766951999999
1766952000000,12.59,12.59,12.53,12.55,50718.28,1766955599999
1766955600000,12.55,12.58,12.53,12.56,26042.84,1766959199999
1766959200000,12.57,12.65,12.55,12.63,49637.79,1766962799999
1766962800000,12.63,12.66,12.58,12.64,39127.68,1766966399999
1766966400000,12.64,12.77,12.62,12.74,132460.99,1766969999999
1766970000000,12.75,12.84,12.63,12.78,116724.62,1766973599999
1766973600000,12.79,12.96,12.78,12.86,185651.13,1766977199999
1766977200000,12.87,13.12,12.85,13.08,240159.15,1766980799999
1766980800000,13.09,13.2,13.05,13.09,272290.82,1766984399999
1766984400000,13.09,13.13,13.02,13.05,133691.42,1766987999999
1766988000000,13.05,13.11,13.02,13.04,70765.61,1766991599999
1766991600000,13.05,13.06,12.92,13.01,182755.1,1766995199999
1766995200000,13.02,13.06,12.89,12.91,459747.36,1766998799999
1766998800000,12.9,12.9,12.67,12.72,215479.59,1767002399999
1767002400000,12.72,12.78,12.71,12.74,91961.31,1767005999999
1767006000000,12.73,12.75,12.71,12.73,68663.66,1767009599999
1767009600000,12.72,12.73,12.46,12.6,383752.87,1767013199999
1767013200000,12.6,12.61,12.53,12.58,54255.94,1767016799999
1767016800000,12.57,12.7,12.53,12.59,223598.4,1767020399999
1767020400000,12.59,12.73,12.57,12.7,119517.75,1767023999999
1767024000000,12.7,12.72,12.59,12.62,83067.5,1767027599999
1767027600000,12.62,12.66,12.57,12.64,57118.21,1767031199999
1767031200000,12.64,12.66,12.53,12.55,62221.14,1767034799999
1767034800000,12.54,12.6,12.49,12.5,53859.79,1767038399999
1767038400000,12.5,12.53,12.35,12.42,227904.22,1767041999999
1767042000000,12.42,12.47,12.41,12.44,47177.22,1767045599999
1767045600000,12.44,12.45,12.37,12.44,57984.39,1767049199999
1767049200000,12.44,12.44,12.36,12.38,50223.73,1767052799999
1767052800000,12.37,12.4,12.36,12.39,36766.91,1767056399999
1767056400000,12.38,12.42,12.35,12.38,26387.58,1767059999999
1767060000000,12.38,12.39,12.35,12.37,40010.68,1767063599999
1767063600000,12.37,12.43,12.33,12.4,65967.57,1767067199999
1767067200000,12.41,12.45,12.39,12.4,45682.7,1767070799999
1767070800000,12.4,12.41,12.36,12.39,22287.17,1767074399999
1767074400000,12.39,12.46,12.38,12.44,33710.51,1767077999999
1767078000000,12.44,12.46,12.41,12.43,48349.58,1767081599999
1767081600000,12.43,12.56,12.43,12.52,116733.87,1767085199999
