open_ms	open	high	low	close	volume	close_ms
1766952000000	12.59	12.66	12.53	12.64	165526.59	1766966399999
1766966400000	12.64	13.12	12.62	13.08	674995.89	1766980799999
1766980800000	13.09	13.2	12.92	13.01	659502.95	1766995199999
1766995200000	13.02	13.06	12.67	12.73	835851.92	1767009599999
1767009600000	12.72	12.73	12.46	12.7	781124.96	1767023999999
1767024000000	12.7	12.72	12.49	12.5	256266.64	1767038399999
1767038400000	12.5	12.53	12.35	12.38	383289.56	1767052799999
1767052800000	12.37	12.43	12.33	12.4	169132.74	1767067199999
1767067200000	12.41	12.46	12.36	12.43	150029.96	1767081599999
1767081600000	12.43	12.56	12.43	12.51	211842.65	1767095999999
1767096000000	12.51	12.6	12.44	12.59	239120.13	1767110399999
1767110400000	12.59	12.64	12.45	12.5	470069.36	1767124799999
1767124800000	12.49	12.6	12.45	12.58	442086.59	1767139199999
1767139200000	12.58	12.72	12.5	12.59	304972.3	1767153599999
1767153600000	12.59	12.63	12.51	12.54	112841.11	1767167999999
1767168000000	12.55	12.58	12.47	12.58	183177.79	1767182399999
1767182400000	12.58	12.67	12.43	12.47	339445.38	1767196799999
1767196800000	12.47	12.47	12.21	12.32	647893.34	1767211199999
1767211200000	12.32	12.4	12.26	12.32	224189.53	1767225599999
1767225600000	12.32	12.38	12.28	12.28	144413.51	1767239999999
1767240000000	12.28	12.3	12.23	12.28	115260.48	1767254399999
1767254400000	12.28	12.38	12.27	12.37	117766.32	1767268799999
1767268800000	12.38	12.56	12.34	12.52	418574.77	1767283199999
1767283200000	12.53	13.58	12.49	13.55	2189410.56	1767297599999
1767297600000	13.55	13.69	13.39	13.59	1417954.18	1767311999999
1767312000000	13.59	13.86	13.51	13.73	765273.18	1767326399999
1767326400000	13.74	13.75	13.38	13.4	388210.45	1767340799999
1767340800000	13.39	13.59	13.34	13.39	485714.8	1767355199999
1767355200000	13.39	13.47	13.09	13.29	684296.65	1767369599999
1767369600000	13.3	13.67	13.28	13.65	548896.65	1767383999999
1767384000000	13.65	13.98	13.56	13.82	404105.41	1767398399999
1767398400000	13.82	14.29	13.79	14.26	889447.62	1767412799999
1767412800000	14.26	14.28	13.67	13.73	607527.68	1767427199999
1767427200000	13.72	14.01	13.71	13.99	260770.14	1767441599999
1767441600000	13.98	14.4	13.83	13.86	649521.64	1767455999999
1767456000000	13.87	13.98	13.79	13.85	264044.22	1767470399999
1767470400000	13.86	14.02	13.8	13.99	236877.45	1767484799999
1767484800000	13.98	14.09	13.9	14.01	319329.87	1767499199999
1767499200000	14.01	14.14	13.95	14.05	307992.86	1767513599999
1767513600000	14.04	14.1	13.97	14.08	278806.36	1767527999999
1767528000000	14.07	14.22	14.01	14.19	358817.81	1767542399999
1767542400000	14.19	14.3	14.0	14.14	342206.78	1767556799999
1767556800000	14.14	14.49	14.12	14.25	560408.26	1767571199999
1767571200000	14.25	14.53	14.21	14.39	516543.22	1767585599999
1767585600000	14.39	14.41	14.08	14.28	408598.44	1767599999999
1767600000000	14.27	14.37	14.13	14.2	313621.06	1767614399999
1767614400000	14.21	14.29	14.03	14.19	545447.73	1767628799999
1767628800000	14.18	14.36	13.91	14.27	659102.45	1767643199999
1767643200000	14.28	14.72	14.25	14.45	619489.62	1767657599999
1767657600000	14.46	14.75	14.25	14.42	422290.22	1767671999999
1767672000000	14.43	14.57	14.24	14.28	321417.85	1767686399999
1767686400000	14.28	14.53	14.25	14.53	213702.99	1767700799999
1767700800000	14.53	14.83	14.42	14.53	797614.46	1767715199999
1767715200000	14.53	14.61	14.28	14.48	1151852.69	1767729599999
1767729600000	14.48	14.78	14.45	14.59	509540.07	1767743999999
1767744000000	14.6	14.6	14.4	14.48	282358.63	1767758399999
1767758400000	14.48	14.54	14.42	14.52	219089.85	1767772799999
