open_ms,open,high,low,close,volume,close_ms
1738886400000,571.71,589.9,570.58,577.71,222673.88,1738972799999
1738972800000,577.7,633.73,573.62,612.39,490805.546,1739059199999
1739059200000,612.39,648.13,602.4,615.81,774091.071,1739145599999
1739145600000,615.81,622.42,596.24,618.65,360129.038,1739231999999
1739232000000,618.65,646.94,615.08,642.11,488539.291,1739318399999
1739318400000,642.12,705.48,626.88,696.93,822216.623,1739404799999
1739404800000,696.92,732.0,658.28,664.72,1766921.695,1739491199999
1739491200000,664.73,684.86,652.0,659.71,650460.875,1739577599999
1739577600000,659.72,671.43,653.46,662.21,255950.897,1739663999999
1739664000000,662.21,686.04,653.11,673.1,362205.963,1739750399999
1739750400000,673.1,682.29,657.99,667.51,323350.276,1739836799999
1739836800000,667.52,668.3,629.65,648.18,366356.988,1739923199999
1739923200000,648.19,664.44,636.99,653.38,352798.243,1740009599999
1740009600000,653.38,659.03,645.88,656.36,215894.368,1740095999999
1740096000000,656.36,668.5,635.0,647.47,317327.155,1740182399999
1740182400000,647.47,679.9,645.21,668.57,297923.184,1740268799999
1740268800000,668.57,671.1,648.49,658.42,166658.013,1740355199999
1740355200000,658.41,659.56,610.6,614.2,360147.153,1740441599999
1740441600000,614.19,628.7,586.0,623.49,647434.612,1740527999999
1740528000000,623.49,632.14,594.07,611.57,428035.431,1740614399999
1740614400000,611.57,619.77,595.84,605.41,295518.116,1740700799999
1740700800000,605.41,606.33,559.71,588.07,600999.319,1740787199999
1740787200000,588.07,609.48,586.4,607.93,292254.356,1740873599999
1740873600000,607.94,635.01,601.5,623.94,469069.23,1740959999999
1740960000000,623.94,624.36,567.5,576.1,497949.879,1741046399999
1741046400000,576.09,588.75,546.83,584.01,488869.851,1741132799999
1741132800000,584.01,606.06,580.57,598.24,206205.988,1741219199999
1741219200000,598.25,612.9,589.2,596.5,223701.39,1741305599999
1741305600000,596.49,610.2,577.23,594.77,289363.933,1741391999999
1741392000000,594.77,602.77,590.11,593.1,117220.631,1741478399999
1741478400000,593.1,593.1,550.2,554.65,246382.904,1741564799999
1741564800000,554.65,573.4,523.01,531.49,410154.62,1741651199999
1741651200000,531.49,566.0,507.0,551.61,691870.521,1741737599999
1741737600000,551.61,574.95,544.63,569.87,367224.211,1741823999999
1741824000000,569.87,613.71,567.99,579.8,647497.028,1741910399999
1741910400000,579.8,589.81,576.61,587.76,213012.082,1741996799999
1741996800000,587.76,619.96,587.49,619.83,254324.009,1742083199999
1742083200000,619.82,622.8,593.06,602.2,255774.316,1742169599999
1742169600000,602.21,643.72,602.04,631.69,591668.184,1742255999999
1742256000000,631.68,643.33,620.28,627.81,443437.833,1742342399999
1742342400000,627.81,628.2,604.36,618.7,399993.645,1742428799999
1742428800000,618.71,637.75,616.55,630.47,578472.125,1742515199999
1742515200000,630.47,637.8,624.92,635.17,262205.569,1742601599999
1742601600000,635.16,636.1,623.79,627.01,140206.083,1742687999999
1742688000000,627.01,629.14,619.5,623.79,155602.578,1742774399999
1742774400000,623.8,639.5,618.0,637.08,307575.991,1742860799999
1742860800000,637.08,644.88,627.05,629.82,554571.557,1742947199999
1742947200000,629.82,634.01,615.3,617.99,222093.835,1743033599999
1743033600000,618.0,642.5,617.2,637.36,743401.847,1743119999999
1743120000000,637.36,637.51,616.0,619.81,317817.16,1743206399999
1743206400000,619.81,623.84,596.97,602.99,254422.261,1743292799999
1743292800000,603.0,613.37,593.58,602.2,195649.405,1743379199999
1743379200000,602.2,608.89,587.26,604.81,254764.269,1743465599999
1743465600000,604.81,618.54,604.46,611.13,565603.069,1743551999999
1743552000000,611.12,614.0,584.85,590.68,399507.957,1743638399999
1743638400000,590.67,610.58,578.46,592.67,507928.514,1743724799999
1743724800000,592.68,600.0,585.0,597.71,177145.405,1743811199999
1743811200000,597.71,599.0,588.71,593.13,85938.079,1743897599999
1743897600000,593.13,593.78,544.17,555.54,332256.265,1743983999999
1743984000000,555.55,567.6,520.0,554.6,727293.86,1744070399999
1744070400000,554.6,566.0,547.64,553.72,212191.86,1744156799999
1744156800000,553.72,585.97,534.3,582.32,378370.127,1744243199999
1744243200000,582.32,583.58,566.17,578.03,369219.863,1744329599999
1744329600000,578.03,590.36,575.7,585.93,174700.72,1744415999999
1744416000000,585.93,600.48,584.0,597.29,151268.708,1744502399999
1744502400000,597.3,598.67,580.32,584.28,144896.285,1744588799999
1744588800000,584.29,593.1,583.14,584.54,153827.795,1744675199999
1744675200000,584.53,590.84,579.38,579.52,141640.579,1744761599999
1744761600000,579.52,587.0,576.0,582.8,174537.948,1744847999999
1744848000000,582.8,592.97,581.0,590.49,151848.259,1744934399999
1744934400000,590.5,596.08,587.08,591.71,191575.748,1745020799999
1745020800000,591.7,594.49,587.7,591.73,96609.003,1745107199999
1745107200000,591.74,595.23,587.5,592.77,115343.598,1745193599999
1745193600000,592.77,608.52,592.53,597.34,171926.422,1745279999999
1745280000000,597.32,619.9,595.0,618.51,285468.164,1745366399999
1745366400000,618.5,619.99,601.38,605.71,314125.448,1745452799999
1745452800000,605.72,606.78,592.59,601.55,204214.28,1745539199999
1745539200000,601.56,610.35,597.2,599.91,257426.554,1745625599999
1745625600000,599.9,609.25,599.34,607.23,137533.142,1745711999999
1745712000000,607.23,608.68,597.0,603.46,121784.476,1745798399999
1745798400000,603.46,608.27,598.2,606.16,143778.008,1745884799999
1745884800000,606.16,610.75,598.1,601.0,236809.997,1745971199999
1745971200000,601.0,604.44,591.42,599.88,210580.664,1746057599999
1746057600000,599.88,605.28,598.14,599.63,156229.229,1746143999999
1746144000000,599.64,603.61,595.12,600.69,141344.865,1746230399999
1746230400000,600.69,601.2,595.23,599.36,100770.294,1746316799999
1746316800000,599.36,600.49,584.7,586.03,143960.835,1746403199999
1746403200000,586.02,599.98,583.55,597.61,201100.589,1746489599999
1746489600000,597.61,603.18,593.23,602.57,214613.107,1746575999999
1746576000000,602.57,609.07,597.89,602.7,194088.591,1746662399999
1746662400000,602.7,629.33,600.8,629.17,384267.525,1746748799999
1746748800000,629.17,671.15,623.12,666.29,480734.869,1746835199999
1746835200000,666.29,678.95,648.83,663.9,444595.43,1746921599999
1746921600000,663.9,668.49,647.83,651.15,319998.959,1747007999999
1747008000000,651.15,693.0,647.31,660.07,586386.945,1747094399999
1747094400000,660.08,672.0,640.66,664.13,416309.75,1747180799999
1747180800000,664.12,667.33,647.15,652.47,290029.994,1747267199999
1747267200000,652.47,661.0,642.29,651.88,313560.813,1747353599999
1747353600000,651.88,659.97,644.0,646.76,200793.607,1747439999999
1747440000000,646.76,646.9,635.05,639.51,141777.711,1747526399999
1747526400000,639.5,655.19,634.39,651.53,189475.296,1747612799999
1747612800000,651.54,653.53,633.51,649.62,210901.52,1747699199999
1747699200000,649.62,653.75,640.14,650.0,169584.291,1747785599999
1747785600000,650.0,678.0,648.49,673.31,470531.895,1747871999999
1747872000000,673.31,690.02,673.0,686.57,390007.996,1747958399999
1747958400000,686.57,691.35,652.19,656.98,343668.707,1748044799999
1748044800000,656.99,677.47,655.4,668.01,165142.039,1748131199999
1748131200000,668.0,671.67,657.1,669.44,169208.322,1748217599999
1748217600000,669.45,678.33,668.22,674.29,180148.252,1748303999999
1748304000000,674.3,697.73,666.56,686.91,326163.491,1748390399999
1748390400000,686.9,689.22,680.04,686.89,211875.743,1748476799999
1748476800000,686.89,691.24,673.33,675.02,260985.136,1748563199999
1748563200000,675.02,678.5,653.22,655.36,218723.509,1748649599999
1748649600000,655.36,661.42,645.04,658.01,158379.39,1748735999999
1748736000000,658.01,662.48,647.58,660.77,131807.448,1748822399999
1748822400000,660.77,667.0,650.05,665.93,143785.605,1748908799999
1748908800000,665.93,673.43,657.11,661.59,158377.459,1748995199999
1748995200000,661.6,671.76,660.84,663.23,124473.802,1749081599999
1749081600000,663.24,670.92,625.44,633.32,271543.149,1749167999999
1749168000000,633.33,651.51,629.38,642.7,169535.957,1749254399999
1749254400000,642.71,653.81,639.69,650.82,90666.37,1749340799999
1749340800000,650.82,656.39,646.49,652.0,72300.314,1749427199999
1749427200000,652.0,667.74,648.01,665.58,127272.158,1749513599999
1749513600000,665.58,674.0,657.26,673.51,176645.056,1749599999999
1749600000000,673.51,674.8,662.2,667.43,177934.085,1749686399999
1749686400000,667.42,669.93,651.91,654.75,152793.975,1749772799999
1749772800000,654.76,659.42,639.01,655.35,223303.917,1749859199999
1749859200000,655.35,655.36,639.0,645.61,93690.143,1749945599999
1749945600000,645.61,652.0,642.77,648.19,79324.646,1750031999999
1750032000000,648.19,659.46,646.26,650.74,124203.787,1750118399999
1750118400000,650.74,659.0,640.11,648.08,182982.263,1750204799999
1750204800000,648.09,654.31,637.35,644.77,143725.674,1750291199999
1750291200000,644.77,646.5,638.66,644.65,80404.985,1750377599999
1750377600000,644.65,651.02,638.0,641.61,143279.622,1750463999999
1750464000000,641.61,644.84,621.94,628.97,143508.116,1750550399999
1750550400000,628.98,635.51,601.25,615.81,243515.033,1750636799999
1750636800000,615.81,642.79,615.05,640.49,219674.329,1750723199999
1750723200000,640.5,644.09,636.17,643.53,131607.231,1750809599999
1750809600000,643.53,652.64,641.85,646.07,169433.154,1750895999999
1750896000000,646.06,650.0,641.12,642.3,103057.286,1750982399999
1750982400000,642.3,648.44,639.16,645.71,81302.955,1751068799999
1751068800000,645.72,649.18,644.25,648.6,57714.965,1751155199999
1751155200000,648.61,656.0,646.72,654.9,73235.796,1751241599999
1751241600000,654.9,660.0,651.17,656.9,110702.196,1751327999999
1751328000000,656.9,659.1,644.0,646.33,85803.055,1751414399999
1751414400000,646.34,664.85,643.71,659.71,112807.955,1751500799999
1751500800000,659.7,664.57,656.7,663.59,99001.436,1751587199999
1751587200000,663.58,664.17,650.21,653.6,89027.412,1751673599999
1751673600000,653.6,656.75,652.0,656.16,51648.289,1751759999999
1751760000000,656.17,664.99,653.54,663.13,82399.119,1751846399999
1751846400000,663.13,663.5,656.77,661.06,83232.984,1751932799999
1751932800000,661.06,662.6,657.36,660.63,86374.042,1752019199999
1752019200000,660.63,671.5,659.05,668.68,123551.595,1752105599999
1752105600000,668.69,687.7,667.25,685.8,214967.536,1752191999999
1752192000000,685.8,697.24,682.83,689.99,268353.904,1752278399999
1752278400000,689.98,697.0,679.63,685.86,134785.185,1752364799999
1752364800000,685.86,694.12,685.12,692.0,84925.723,1752451199999
1752451200000,692.01,707.54,686.05,689.12,253634.996,1752537599999
1752537600000,689.13,693.21,675.3,689.92,188962.491,1752623999999
1752624000000,689.93,715.56,685.2,708.61,238334.938,1752710399999
1752710400000,708.61,727.85,706.14,720.65,409572.675,1752796799999
1752796800000,720.64,765.56,718.73,729.92,556430.085,1752883199999
1752883200000,729.92,742.5,718.76,733.2,188095.81,1752969599999
1752969600000,733.2,761.29,731.5,756.82,253255.203,1753055999999
1753056000000,756.82,781.99,746.06,766.22,338419.952,1753142399999
1753142400000,766.22,788.35,745.0,786.68,359074.056,1753228799999
1753228800000,786.69,809.84,752.47,776.74,709087.1566,1753315199999
1753315200000,776.74,786.16,742.62,770.74,363436.737,1753401599999
1753401600000,770.74,786.0,752.22,785.45,284068.121,1753487999999
1753488000000,785.44,798.0,778.28,793.29,128764.391,1753574399999
1753574400000,793.3,847.12,791.04,844.0,397296.2555,1753660799999
1753660800000,844.0,861.1,820.64,824.07,517734.6912,1753747199999
1753747200000,824.07,835.06,800.12,805.1,427366.132,1753833599999
1753833600000,805.11,811.64,766.21,793.51,369598.736,1753919999999
1753920000000,793.51,814.8,781.38,783.14,335026.145,1754006399999
1754006400000,783.13,795.4,744.69,757.08,393831.558,1754092799999
1754092800000,757.08,770.11,732.36,736.42,209282.992,1754179199999
1754179200000,736.43,755.53,730.01,751.21,142700.965,1754265599999
1754265600000,751.21,770.0,750.47,768.63,171505.406,1754351999999
1754352000000,768.62,769.79,745.11,755.13,179458.96,1754438399999
