open_ms	open	high	low	close	volume	close_ms
1766952000000	859.68	862.37	856.84	859.32	9193.851	1766966399999
1766966400000	859.32	872.12	858.71	869.19	29030.762	1766980799999
1766980800000	869.2	871.66	858.8	860.58	23072.611	1766995199999
1766995200000	860.58	861.79	847.55	853.04	27299.059	1767009599999
1767009600000	853.05	855.4	846.0	853.6	27400.463	1767023999999
1767024000000	853.59	855.69	850.0	853.03	14001.161	1767038399999
1767038400000	853.03	855.04	851.43	852.46	6347.391	1767052799999
1767052800000	852.46	853.5	848.7	852.5	8009.531	1767067199999
1767067200000	852.5	854.89	850.38	853.75	8925.111	1767081599999
1767081600000	853.75	859.76	853.75	854.8	15274.663	1767095999999
1767096000000	854.8	864.05	854.61	862.78	21602.347	1767110399999
1767110400000	862.79	863.06	857.35	859.79	12085.801	1767124799999
1767124800000	859.79	863.06	858.33	861.65	7335.594	1767139199999
1767139200000	861.66	863.0	857.69	859.29	7583.481	1767153599999
1767153600000	859.29	868.0	858.99	867.99	36435.919	1767167999999
1767168000000	867.99	869.35	864.95	869.2	21051.516	1767182399999
1767182400000	869.19	877.29	860.53	863.3	45328.072	1767196799999
1767196800000	863.3	864.81	857.88	864.32	23389.056	1767211199999
1767211200000	864.31	866.56	860.84	864.3	16206.574	1767225599999
1767225600000	864.31	874.51	863.79	869.16	21044.853	1767239999999
1767240000000	869.15	869.21	859.2	859.52	19240.256	1767254399999
1767254400000	859.52	861.97	858.98	861.59	9032.058	1767268799999
1767268800000	861.6	861.6	856.14	859.36	13427.04	1767283199999
1767283200000	859.36	861.77	857.22	861.56	8959.233	1767297599999
1767297600000	861.57	864.65	860.16	864.39	9010.222	1767311999999
1767312000000	864.4	867.17	859.64	865.79	13915.019	1767326399999
1767326400000	865.8	867.97	863.08	864.9	15159.541	1767340799999
1767340800000	864.89	874.38	864.89	869.51	22093.491	1767355199999
1767355200000	869.52	882.37	865.26	877.99	33624.126	1767369599999
1767369600000	878.0	891.14	877.47	880.55	34905.512	1767383999999
1767384000000	880.55	885.63	878.53	881.25	9374.053	1767398399999
1767398400000	881.25	884.24	875.14	879.2	15144.254	1767412799999
1767412800000	879.2	880.12	868.65	873.0	19866.371	1767427199999
1767427200000	873.0	875.62	871.58	874.24	12504.665	1767441599999
1767441600000	874.24	877.54	871.6	873.44	17977.215	1767455999999
1767456000000	873.44	877.3	873.43	876.4	7921.329	1767470399999
1767470400000	876.41	880.0	875.5	878.63	6551.371	1767484799999
1767484800000	878.64	883.71	878.47	883.14	15343.649	1767499199999
1767499200000	883.13	890.84	882.84	884.66	26352.251	1767513599999
1767513600000	884.67	887.39	882.58	884.88	13162.733	1767527999999
1767528000000	884.88	890.0	883.59	889.3	14327.791	1767542399999
1767542400000	889.3	902.85	889.29	892.53	38734.448	1767556799999
1767556800000	892.52	897.65	892.41	895.43	10766.235	1767571199999
1767571200000	895.43	906.91	894.73	900.02	32277.447	1767585599999
1767585600000	900.02	900.68	890.59	899.2	21712.66	1767599999999
1767600000000	899.2	909.0	895.6	908.89	23921.654	1767614399999
1767614400000	908.89	908.91	900.49	906.46	24314.355	1767628799999
1767628800000	906.46	914.0	901.31	911.12	22275.03	1767643199999
1767643200000	911.12	916.55	908.96	910.31	15851.639	1767657599999
1767657600000	910.31	911.63	904.83	908.14	15841.255	1767671999999
1767672000000	908.15	910.11	902.96	904.71	19375.765	1767686399999
1767686400000	904.71	914.92	904.52	913.13	15559.14	1767700799999
1767700800000	913.13	923.93	911.54	919.1	53413.814	1767715199999
1767715200000	919.1	920.68	891.66	901.2	38765.03	1767729599999
1767729600000	901.19	919.78	901.03	917.64	23942.185	1767743999999
1767744000000	917.64	919.25	904.58	909.84	18852.09	1767758399999
1767758400000	909.85	918.99	909.07	918.82	19158.88	1767772799999
1767772800000	918.81	920.27	908.2	910.44	56286.517	1767787199999
1767787200000	910.44	910.99	895.11	899.43	31662.888	1767801599999
1767801600000	899.44	901.95	892.64	897.12	14078.974	1767815999999
1767816000000	897.12	901.05	894.01	900.3	8612.441	1767830399999
1767830400000	900.31	905.0	892.38	893.61	15196.293	1767844799999
1767844800000	893.62	897.68	875.1	885.02	42311.827	1767859199999
1767859200000	885.02	887.89	879.28	886.77	22250.475	1767873599999
1767873600000	886.77	889.24	877.7	888.92	26874.549	1767887999999
1767888000000	888.92	891.71	885.69	888.32	16374.724	1767902399999
1767902400000	888.32	894.63	885.32	892.26	11514.887	1767916799999
1767916800000	892.27	896.56	887.91	895.8	13532.968	1767931199999
1767931200000	895.81	899.0	893.66	893.66	8919.155	1767945599999
1767945600000	893.67	894.5	886.2	889.64	14219.233	1767959999999
1767960000000	889.63	900.22	885.28	894.77	24722.784	1767974399999
1767974400000	894.77	901.06	890.94	893.34	13942.441	1767988799999
1767988800000	893.33	898.25	891.94	896.86	6244.786	1768003199999
1768003200000	896.87	908.0	896.81	907.31	20568.908	1768017599999
1768017600000	907.31	910.22	903.05	905.37	19150.01	1768031999999
1768032000000	905.38	906.43	898.98	900.47	19272.135	1768046399999
1768046400000	900.47	910.82	899.13	908.78	22202.25	1768060799999
1768060800000	908.79	915.86	906.89	913.93	25640.876	1768075199999
1768075200000	913.94	915.91	902.23	907.93	18078.314	1768089599999
1768089600000	907.93	914.11	904.3	913.2	13812.914	1768103999999
1768104000000	913.21	916.3	910.69	913.55	17935.729	1768118399999
1768118400000	913.55	917.33	911.62	912.05	15847.022	1768132799999
1768132800000	912.06	915.38	906.29	908.64	24216.71	1768147199999
1768147200000	908.64	911.17	903.5	904.45	14826.627	1768161599999
1768161600000	904.45	905.31	898.75	904.32	11982.079	1768175999999
1768176000000	904.32	910.81	896.85	905.27	29339.481	1768190399999
1768190400000	905.28	910.21	903.97	904.81	16449.507	1768204799999
1768204800000	904.82	908.3	898.26	901.28	18144.889	1768219199999
1768219200000	901.27	905.22	894.0	904.28	21588.505	1768233599999
1768233600000	904.28	909.11	900.0	907.79	13374.901	1768247999999
1768248000000	907.78	908.31	901.22	905.78	9624.89	1768262399999
1768262400000	905.79	907.86	902.25	906.36	15128.291	1768276799999
1768276800000	906.36	914.98	906.35	910.05	31542.253	1768291199999
1768291200000	910.05	912.2	907.52	907.68	94132.528	1768305599999
1768305600000	907.69	916.6	906.18	916.47	36012.131	1768319999999
1768320000000	916.47	945.55	916.38	941.5	78320.053	1768334399999
1768334400000	941.5	952.96	940.0	943.73	56779.741	1768348799999
1768348800000	943.73	954.68	943.64	950.13	39897.992	1768363199999
1768363200000	950.14	952.2	934.67	937.45	33053.637	1768377599999
1768377600000	937.45	938.92	928.5	928.79	24800.902	1768391999999
1768392000000	928.78	946.24	928.53	942.03	35926.368	1768406399999
1768406400000	942.03	947.57	938.25	943.78	30892.589	1768420799999
1768420800000	943.79	949.85	943.2	948.47	18637.21	1768435199999
1768435200000	948.48	948.85	929.05	931.89	35679.044	1768449599999
1768449600000	931.9	940.09	931.41	939.14	17679.776	1768463999999
1768464000000	939.13	942.96	937.66	938.09	14257.754	1768478399999
1768478400000	938.1	945.71	930.23	937.64	30102.908	1768492799999
1768492800000	937.63	942.62	925.01	928.07	22789.135	1768507199999
1768507200000	928.07	933.55	924.05	931.2	10692.851	1768521599999
1768521600000	931.21	933.98	929.22	929.59	9518.555	1768535999999
1768536000000	929.6	936.13	927.16	934.04	15999.441	1768550399999
1768550400000	934.05	938.56	931.99	935.38	12838.551	1768564799999
1768564800000	935.38	937.46	923.69	926.97	20886.666	1768579199999
1768579200000	926.97	932.36	926.53	931.36	9459.873	1768593599999
1768593600000	931.36	939.43	928.71	938.16	8767.297	1768607999999
1768608000000	938.17	940.03	935.54	937.65	9383.812	1768622399999
1768622400000	937.65	939.08	935.5	935.9	8392.618	1768636799999
1768636800000	935.9	944.51	935.65	942.93	12855.751	1768651199999
1768651200000	942.92	959.52	941.43	955.37	28646.576	1768665599999
1768665600000	955.37	956.0	949.1	952.5	15818.879	1768679999999
1768680000000	952.5	954.0	945.37	947.12	11089.695	1768694399999
1768694400000	947.11	951.13	943.14	950.4	12902.498	1768708799999
1768708800000	950.41	950.41	944.73	944.74	8501.18	1768723199999
1768723200000	944.73	947.38	943.81	946.79	10221.371	1768737599999
1768737600000	946.8	950.75	944.44	950.13	14302.353	1768751999999
1768752000000	950.14	953.33	948.68	949.7	8865.199	1768766399999
1768766400000	949.7	953.24	931.7	932.51	22055.649	1768780799999
1768780800000	932.51	932.51	901.0	925.18	92680.132	1768795199999
1768795200000	925.17	927.87	922.89	927.29	22206.767	1768809599999
1768809600000	927.29	929.8	924.49	928.23	23018.953	1768823999999
1768824000000	928.23	930.0	923.12	925.21	52537.789	1768838399999
1768838400000	925.22	929.03	924.86	926.56	9043.96	1768852799999
1768852800000	926.56	927.6	919.32	923.6	9952.959	1768867199999
1768867200000	923.6	933.13	923.5	927.63	20877.091	1768881599999
1768881600000	927.63	928.62	914.27	917.77	35743.215	1768895999999
1768896000000	917.77	917.89	908.66	912.68	19234.568	1768910399999
1768910400000	912.69	915.99	896.66	905.33	36885.818	1768924799999
1768924800000	905.33	908.5	887.24	895.7	25525.077	1768939199999
1768939200000	895.7	898.0	884.0	884.2	25494.46	1768953599999
1768953600000	884.19	884.2	867.0	881.44	43214.098	1768967999999
1768968000000	881.44	885.92	874.36	875.36	19895.11	1768982399999
