open_ms,open,high,low,close,volume,close_ms
1738886400000,18.59,19.86,17.79,18.39,5908194.93,1738972799999
1738972800000,18.39,18.63,17.87,18.45,2487416.07,1739059199999
1739059200000,18.44,19.0,17.44,18.26,3353841.91,1739145599999
1739145600000,18.26,19.13,17.67,18.81,3713087.79,1739231999999
1739232000000,18.8,19.79,18.22,18.66,4263524.03,1739318399999
1739318400000,18.65,19.51,17.64,19.2,5633560.52,1739404799999
1739404800000,19.2,19.34,18.18,18.56,2549414.88,1739491199999
1739491200000,18.56,19.84,18.45,19.38,3273627.94,1739577599999
1739577600000,19.39,19.67,18.73,18.99,1679060.06,1739663999999
1739664000000,19.0,19.26,18.56,18.69,1828935.06,1739750399999
1739750400000,18.7,19.8,18.36,19.12,3643081.5,1739836799999
1739836800000,19.12,19.2,17.28,17.88,4505341.14,1739923199999
1739923200000,17.88,18.21,17.44,17.98,2675151.19,1740009599999
1740009600000,17.98,18.48,17.81,18.28,2731996.9,1740095999999
1740096000000,18.28,19.06,17.12,17.43,4587895.37,1740182399999
1740182400000,17.43,18.03,17.3,17.76,2055640.23,1740268799999
1740268800000,17.76,18.13,17.42,17.62,1720018.44,1740355199999
1740355200000,17.62,17.75,14.97,15.26,5293023.88,1740441599999
1740441600000,15.26,15.59,14.02,15.31,10228092.27,1740527999999
1740528000000,15.31,15.78,14.67,15.26,6144417.14,1740614399999
1740614400000,15.26,15.78,14.78,15.1,3366542.39,1740700799999
1740700800000,15.11,15.2,13.45,14.81,6722597.01,1740787199999
1740787200000,14.81,15.14,14.22,14.75,2768879.74,1740873599999
1740873600000,14.75,17.55,14.4,17.42,7915106.42,1740959999999
1740960000000,17.42,17.49,14.36,14.46,8257408.33,1741046399999
1741046400000,14.46,15.36,13.08,14.86,10326427.49,1741132799999
1741132800000,14.87,16.59,14.63,16.43,8116733.84,1741219199999
1741219200000,16.43,17.67,16.37,17.06,8697077.04,1741305599999
1741305600000,17.06,17.54,15.73,15.94,10299090.47,1741391999999
1741392000000,15.95,16.04,15.13,15.26,3134313.82,1741478399999
1741478400000,15.27,15.37,13.6,13.81,4248839.69,1741564799999
1741564800000,13.81,14.57,12.41,12.65,7677019.97,1741651199999
1741651200000,12.66,13.66,11.85,13.13,10016626.39,1741737599999
1741737600000,13.14,13.81,12.64,13.49,6327960.06,1741823999999
1741824000000,13.49,13.6,12.71,13.04,4141753.02,1741910399999
1741910400000,13.04,14.71,12.99,13.66,12755289.32,1741996799999
1741996800000,13.66,14.25,13.63,14.01,3408277.79,1742083199999
1742083200000,14.02,14.19,13.21,13.37,2780110.54,1742169599999
1742169600000,13.38,14.24,13.34,14.03,3319483.11,1742255999999
1742256000000,14.03,14.28,13.46,13.91,2922034.37,1742342399999
1742342400000,13.92,15.05,13.77,15.03,5082770.6,1742428799999
1742428800000,15.03,15.17,14.08,14.22,3092914.51,1742515199999
1742515200000,14.22,14.39,13.82,13.97,1751688.08,1742601599999
1742601600000,13.96,14.5,13.93,14.25,1474759.41,1742687999999
1742688000000,14.25,14.5,14.21,14.47,1401116.5,1742774399999
1742774400000,14.46,15.41,14.16,15.13,3509456.58,1742860799999
1742860800000,15.13,15.61,14.87,15.44,2219727.7,1742947199999
1742947200000,15.43,16.0,14.94,15.24,3150903.48,1743033599999
1743033600000,15.25,15.8,15.17,15.52,2499733.03,1743119999999
1743120000000,15.53,15.59,14.0,14.25,3532174.05,1743206399999
1743206400000,14.25,14.42,13.37,13.55,2413896.58,1743292799999
1743292800000,13.56,13.87,13.19,13.41,2061395.48,1743379199999
1743379200000,13.42,13.72,12.96,13.51,2664605.78,1743465599999
1743465600000,13.5,14.4,13.49,14.04,2669710.9,1743551999999
1743552000000,14.04,14.4,12.81,12.9,6814389.49,1743638399999
1743638400000,12.9,13.31,12.3,12.9,5139724.57,1743724799999
1743724800000,12.9,13.2,12.35,12.94,4559146.69,1743811199999
1743811200000,12.94,13.06,12.57,12.85,1414775.76,1743897599999
1743897600000,12.84,12.96,11.0,11.28,4370640.73,1743983999999
1743984000000,11.29,11.89,10.1,11.45,13409341.29,1744070399999
1744070400000,11.46,11.89,10.78,10.93,4384116.83,1744156799999
1744156800000,10.93,12.82,10.44,12.65,8980891.69,1744243199999
1744243200000,12.65,12.67,11.68,12.08,4138245.7,1744329599999
1744329600000,12.07,12.9,12.02,12.64,3323588.23,1744415999999
1744416000000,12.64,13.29,12.47,13.15,2468342.79,1744502399999
1744502400000,13.15,13.23,12.43,12.62,3154296.08,1744588799999
1744588800000,12.63,13.25,12.57,12.63,2801098.17,1744675199999
1744675200000,12.64,12.84,12.21,12.24,3088546.47,1744761599999
1744761600000,12.24,12.53,11.89,12.35,2896851.83,1744847999999
1744848000000,12.35,12.71,12.2,12.54,2255618.77,1744934399999
1744934400000,12.54,12.72,12.4,12.56,1155230.48,1745020799999
1745020800000,12.57,13.06,12.53,12.94,1188404.07,1745107199999
1745107200000,12.93,13.6,12.87,13.28,2277566.14,1745193599999
1745193600000,13.29,13.7,12.96,13.11,2623398.74,1745279999999
1745280000000,13.1,14.18,12.88,14.13,3872482.56,1745366399999
1745366400000,14.13,15.28,14.01,15.02,4479481.4,1745452799999
1745452800000,15.02,15.15,14.15,15.06,3263326.6,1745539199999
1745539200000,15.06,15.36,14.71,14.92,3790777.91,1745625599999
1745625600000,14.92,15.28,14.67,14.86,2127724.28,1745711999999
1745712000000,14.87,15.1,14.37,14.56,2456622.73,1745798399999
1745798400000,14.56,15.11,14.24,15.03,3049340.9,1745884799999
1745884800000,15.03,15.24,14.47,14.6,2173196.17,1745971199999
1745971200000,14.61,14.76,13.83,14.3,2127588.64,1746057599999
1746057600000,14.3,15.04,14.3,14.74,2952704.48,1746143999999
1746144000000,14.74,15.03,14.49,14.65,2801948.57,1746230399999
1746230400000,14.65,14.67,14.16,14.24,1788850.74,1746316799999
1746316800000,14.24,14.37,13.81,13.86,1579429.9,1746403199999
1746403200000,13.86,14.2,13.48,13.65,2448399.35,1746489599999
1746489600000,13.65,13.89,13.2,13.82,2166912.06,1746575999999
1746576000000,13.82,14.09,13.46,13.82,1873337.32,1746662399999
1746662400000,13.81,15.99,13.81,15.88,5676038.21,1746748799999
1746748800000,15.89,16.73,15.58,16.01,6902689.72,1746835199999
1746835200000,16.01,17.47,15.86,17.34,5230336.13,1746921599999
1746921600000,17.34,17.42,16.3,17.1,4824652.78,1747007999999
1747008000000,17.1,17.98,16.03,16.74,6485836.98,1747094399999
1747094400000,16.74,17.81,16.03,17.39,5140765.42,1747180799999
1747180800000,17.4,17.53,16.67,17.01,3739156.87,1747267199999
1747267200000,17.02,17.21,15.69,16.04,4599640.32,1747353599999
1747353600000,16.04,16.54,15.61,15.76,3037327.69,1747439999999
1747440000000,15.76,15.79,15.07,15.32,2634568.83,1747526399999
1747526400000,15.33,16.4,14.88,15.88,4286878.87,1747612799999
1747612800000,15.88,16.01,14.84,15.78,4330819.39,1747699199999
1747699200000,15.79,16.42,15.24,15.71,4389269.1,1747785599999
1747785600000,15.71,16.49,15.52,16.1,6093462.07,1747871999999
1747872000000,16.1,16.91,16.04,16.74,4542884.36,1747958399999
1747958400000,16.74,17.16,15.42,15.53,6190632.79,1748044799999
1748044800000,15.53,15.91,15.24,15.34,2601739.54,1748131199999
1748131200000,15.34,15.56,14.86,15.54,2236117.68,1748217599999
1748217600000,15.54,15.96,15.4,15.54,2143637.24,1748303999999
1748304000000,15.54,16.13,15.15,15.91,2513450.22,1748390399999
1748390400000,15.91,16.16,15.31,15.69,2287285.42,1748476799999
1748476800000,15.69,16.19,15.0,15.05,3470428.69,1748563199999
1748563200000,15.05,15.12,13.76,13.9,6106096.75,1748649599999
1748649600000,13.89,14.19,13.39,13.97,3241877.57,1748735999999
1748736000000,13.97,14.13,13.58,14.06,1673437.42,1748822399999
1748822400000,14.06,14.12,13.59,14.07,1803670.48,1748908799999
1748908800000,14.08,14.45,13.98,14.11,2397370.67,1748995199999
1748995200000,14.12,14.48,13.7,13.83,1698210.37,1749081599999
1749081600000,13.84,14.04,12.64,12.89,4325191.79,1749167999999
1749168000000,12.89,13.69,12.82,13.56,2892254.8,1749254399999
1749254400000,13.57,14.08,13.48,13.83,1796907.09,1749340799999
1749340800000,13.82,13.98,13.55,13.73,1301631.33,1749427199999
1749427200000,13.73,14.4,13.54,14.36,2139591.17,1749513599999
1749513600000,14.36,15.53,14.32,15.45,4610246.8,1749599999999
1749600000000,15.45,15.66,14.77,14.89,4342696.57,1749686399999
1749686400000,14.89,14.93,13.83,13.97,3957934.78,1749772799999
1749772800000,13.98,13.99,12.75,13.44,6529679.32,1749859199999
1749859200000,13.45,13.46,12.83,13.15,1849077.29,1749945599999
1749945600000,13.16,13.33,13.0,13.3,1457954.35,1750031999999
1750032000000,13.3,14.17,13.17,13.56,2758548.76,1750118399999
1750118400000,13.57,13.79,12.8,12.99,3726610.19,1750204799999
1750204800000,13.0,13.23,12.63,13.11,2573912.22,1750291199999
1750291200000,13.12,13.38,12.91,13.07,1851285.83,1750377599999
1750377600000,13.07,13.29,12.3,12.51,2738596.05,1750463999999
1750464000000,12.51,12.75,11.69,12.03,2605780.15,1750550399999
1750550400000,12.03,12.2,10.94,11.65,5918789.6,1750636799999
1750636800000,11.65,12.97,11.39,12.82,4411334.51,1750723199999
1750723200000,12.83,13.73,12.78,13.42,4188366.46,1750809599999
1750809600000,13.42,13.51,12.99,13.13,2471771.03,1750895999999
1750896000000,13.14,13.57,12.88,12.94,1893346.8,1750982399999
1750982400000,12.94,13.23,12.73,13.05,1558205.31,1751068799999
1751068800000,13.05,13.45,13.0,13.39,1200113.9,1751155199999
1751155200000,13.4,13.88,13.24,13.7,1498678.23,1751241599999
1751241600000,13.71,13.78,13.12,13.38,2514005.77,1751327999999
1751328000000,13.37,13.44,12.78,12.9,1734062.81,1751414399999
1751414400000,12.9,13.85,12.73,13.56,3263950.46,1751500799999
1751500800000,13.55,14.08,13.43,13.67,3061053.26,1751587199999
1751587200000,13.66,13.78,12.93,13.16,2145964.77,1751673599999
1751673600000,13.16,13.27,12.99,13.23,900526.54,1751759999999
1751760000000,13.23,13.7,13.1,13.48,1349555.74,1751846399999
1751846400000,13.49,13.73,13.25,13.44,1830708.82,1751932799999
1751932800000,13.43,14.0,13.2,13.96,2064962.22,1752019199999
1752019200000,13.97,14.38,13.81,14.25,3387387.4,1752105599999
1752105600000,14.25,15.34,14.15,15.23,3789246.68,1752191999999
1752192000000,15.24,15.88,15.01,15.28,5080650.86,1752278399999
1752278400000,15.29,15.48,14.7,15.11,2060919.92,1752364799999
1752364800000,15.11,15.95,15.04,15.66,2764273.77,1752451199999
