open_ms,open,high,low,close,volume,close_ms
1613347200000,33.1555,36.9307,27.5,34.0915,52710922.03,1613951999999
1613952000000,34.0916,34.2185,20.8088,24.7016,81726911.84,1614556799999
1614556800000,24.6954,31.43,24.5758,28.5932,49934593.44,1615161599999
1615161600000,28.5918,32.0,26.9326,28.5469,36041117.52,1615766399999
1615766400000,28.531,31.4325,26.3975,29.2097,31742683.59,1616371199999
1616371200000,29.2117,29.4444,23.61,26.6588,26021857.83,1616975999999
1616976000000,26.6576,33.1707,26.18,30.7471,28880692.51,1617580799999
1617580800000,30.7473,35.12,29.6179,33.8811,36557165.52,1618185599999
1618185600000,33.8811,44.33,28.8,39.0799,69477395.07,1618790399999
1618790400000,39.0858,41.99,29.801,31.692,73908888.593,1619395199999
1619395200000,31.69,41.46,31.363,39.461,38222179.369,1619999999999
1620000000000,39.461,52.426,38.634,52.269,77539254.631,1620604799999
1620604800000,52.277,53.0,37.944,40.67,64263918.581,1621209599999
1621209600000,40.662,44.69,15.0,19.844,130881295.718,1621814399999
1621814400000,19.849,35.334,19.677,26.818,104694525.543,1622419199999
1622419200000,26.813,32.856,25.555,27.532,57894803.767,1623023999999
1623024000000,27.53,28.693,20.0,23.312,64535154.609,1623628799999
1623628800000,23.314,26.458,19.077,21.646,47741194.771,1624233599999
1624233600000,21.641,21.881,15.0,18.406,79154452.584,1624838399999
1624838400000,18.407,20.546,17.256,19.242,42771313.914,1625443199999
1625443200000,19.238,21.274,17.617,18.383,40958626.984,1626047999999
1626048000000,18.382,18.609,15.02,15.47,33476497.769,1626652799999
1626652800000,15.475,17.132,13.384,16.746,43216407.894,1627257599999
1627257600000,16.745,23.94,16.662,22.062,63559246.414,1627862399999
1627862400000,22.065,25.157,21.401,23.029,50892360.155,1628467199999
1628467200000,23.026,27.983,22.072,27.901,42074192.575,1629071999999
1629072000000,27.901,30.51,24.479,27.982,51848796.17,1629676799999
1629676800000,27.981,29.3,23.88,25.76,35561782.135,1630281599999
1630281600000,25.77,33.61,24.3,33.55,44540295.287,1630886399999
1630886400000,33.54,36.33,23.79,29.42,78940836.514,1631491199999
1631491200000,29.42,32.11,25.17,27.36,58774686.29,1632095999999
1632096000000,27.37,27.43,20.82,24.6,67620474.213,1632700799999
1632700800000,24.59,28.16,22.0,27.57,40055989.51,1633305599999
1633305600000,27.56,28.19,25.2,25.56,37280101.73,1633910399999
1633910400000,25.55,28.7,23.53,26.54,42073680.82,1634515199999
1634515200000,26.54,31.53,25.26,29.7,43769781.11,1635119999999
1635120000000,29.71,33.91,27.91,30.0,46754287.64,1635724799999
1635724800000,30.0,33.71,29.14,32.34,32317434.48,1636329599999
1636329600000,32.34,38.31,31.9,33.75,45183448.835,1636934399999
1636934400000,33.75,34.5,25.82,28.98,40017542.86,1637539199999
1637539200000,29.0,29.09,22.63,24.76,39276931.08,1638143999999
1638144000000,24.76,26.9,15.32,19.48,53054864.546,1638748799999
1638748800000,19.49,23.2,17.21,20.41,51869164.8,1639353599999
1639353600000,20.41,20.56,17.26,18.86,40411783.28,1639958399999
1639958400000,18.86,23.58,18.04,22.98,36714721.63,1640563199999
1640563200000,22.99,24.49,19.04,21.87,42654436.28,1641167999999
1641168000000,21.86,28.68,21.25,27.54,116442862.07,1641772799999
1641772800000,27.54,28.71,23.91,25.5,65270932.21,1642377599999
1642377600000,25.51,25.62,14.24,16.64,63763653.943,1642982399999
1642982400000,16.63,18.1,13.48,17.77,58528708.069,1643587199999
1643587200000,17.76,18.32,15.26,18.07,37637905.3,1644191999999
1644192000000,18.06,19.54,15.52,15.6,33687319.88,1644796799999
1644796800000,15.61,17.45,14.39,14.6,27221221.02,1645401599999
1645401600000,14.61,15.31,11.4,13.64,51939966.15,1646006399999
1646006400000,13.64,15.87,13.25,13.32,36212349.71,1646611199999
1646611200000,13.31,14.46,12.42,12.7,36001895.49,1647215999999
