open_ms	open	high	low	close	volume	close_ms
1766952000000	123.3	125.64	123.1	125.27	523876.794	1766966399999
1766966400000	125.27	130.16	125.01	128.58	1570857.086	1766980799999
1766980800000	128.58	129.15	127.2	127.88	540783.503	1766995199999
1766995200000	127.88	128.47	125.01	125.08	644155.681	1767009599999
1767009600000	125.08	125.41	122.36	123.44	961859.699	1767023999999
1767024000000	123.43	123.98	122.63	123.06	366732.972	1767038399999
1767038400000	123.07	123.62	122.86	123.28	223206.164	1767052799999
1767052800000	123.28	123.93	122.58	123.8	212290.371	1767067199999
1767067200000	123.79	124.35	123.2	124.02	292747.345	1767081599999
1767081600000	124.02	125.15	124.0	124.3	399345.688	1767095999999
1767096000000	124.29	125.35	123.54	125.16	561575.424	1767110399999
1767110400000	125.16	126.52	123.78	124.71	695920.332	1767124799999
1767124800000	124.71	125.14	123.5	125.01	318752.356	1767139199999
1767139200000	125.02	126.09	124.41	125.82	385546.726	1767153599999
1767153600000	125.81	126.1	125.38	125.99	204182.586	1767167999999
1767168000000	125.99	126.85	125.44	126.73	254276.093	1767182399999
1767182400000	126.73	127.44	125.01	125.59	484377.049	1767196799999
1767196800000	125.58	125.74	124.31	124.39	323537.14	1767211199999
1767211200000	124.38	132.75	122.99	124.65	1289724.064	1767225599999
1767225600000	124.64	125.8	124.6	125.21	245926.338	1767239999999
1767240000000	125.22	125.32	124.22	124.24	156389.379	1767254399999
1767254400000	124.24	125.29	124.15	125.22	343252.977	1767268799999
1767268800000	125.23	125.28	124.39	124.96	310752.549	1767283199999
1767283200000	124.96	125.79	124.28	125.76	384537.993	1767297599999
1767297600000	125.76	127.25	125.31	126.9	292805.742	1767311999999
1767312000000	126.91	127.99	125.84	127.53	380568.162	1767326399999
1767326400000	127.53	127.72	126.75	127.13	180338.215	1767340799999
1767340800000	127.14	129.99	127.13	128.22	625544.285	1767355199999
1767355200000	128.21	129.65	126.82	128.98	627670.56	1767369599999
1767369600000	128.98	132.3	128.68	131.63	745970.82	1767383999999
1767384000000	131.63	133.25	130.83	132.29	364135.33	1767398399999
1767398400000	132.28	133.17	132.06	132.83	270844.665	1767412799999
1767412800000	132.83	132.93	129.6	130.1	368318.036	1767427199999
1767427200000	130.09	131.44	129.8	130.71	253605.01	1767441599999
1767441600000	130.71	132.18	130.5	131.47	238562.337	1767455999999
1767456000000	131.48	132.12	131.47	131.78	150725.729	1767470399999
1767470400000	131.78	133.99	131.35	133.37	238567.722	1767484799999
1767484800000	133.37	134.97	133.31	134.62	397085.181	1767499199999
1767499200000	134.62	135.0	133.66	133.8	302385.366	1767513599999
1767513600000	133.8	134.88	133.2	134.39	263179.193	1767527999999
1767528000000	134.39	135.35	133.75	134.91	350770.216	1767542399999
1767542400000	134.91	135.54	133.12	133.56	339599.217	1767556799999
1767556800000	133.55	134.86	133.4	134.12	156249.94	1767571199999
1767571200000	134.12	137.75	134.01	136.64	651880.993	1767585599999
1767585600000	136.64	136.79	134.63	135.45	328811.125	1767599999999
1767600000000	135.45	136.06	134.75	135.77	342758.224	1767614399999
1767614400000	135.77	136.47	133.18	136.13	798861.983	1767628799999
1767628800000	136.13	138.82	134.31	138.23	765477.737	1767643199999
1767643200000	138.23	139.87	137.72	137.9	439777.422	1767657599999
1767657600000	137.91	138.63	136.89	138.38	341713.209	1767671999999
1767672000000	138.38	140.08	137.35	137.61	507045.105	1767686399999
1767686400000	137.6	139.7	137.4	139.5	416041.928	1767700799999
1767700800000	139.5	143.48	138.72	141.6	1164131.173	1767715199999
1767715200000	141.59	141.95	136.19	137.53	841636.852	1767729599999
1767729600000	137.53	141.99	137.51	141.08	501226.85	1767743999999
1767744000000	141.08	141.4	138.52	139.58	365641.21	1767758399999
1767758400000	139.59	139.72	138.15	139.39	254909.392	1767772799999
1767772800000	139.39	139.8	136.56	137.93	475525.662	1767787199999
1767787200000	137.93	138.51	135.25	135.7	569355.221	1767801599999
1767801600000	135.7	136.68	134.41	135.76	401993.748	1767815999999
1767816000000	135.76	137.05	135.0	136.39	254216.945	1767830399999
1767830400000	136.39	138.32	136.0	136.75	382004.008	1767844799999
1767844800000	136.74	138.33	133.79	135.9	493314.371	1767859199999
1767859200000	135.9	136.22	133.92	134.79	323607.294	1767873599999
1767873600000	134.8	136.55	132.67	136.41	663928.576	1767887999999
1767888000000	136.41	139.06	136.25	137.53	635387.085	1767902399999
1767902400000	137.53	140.07	136.52	138.37	615196.501	1767916799999
1767916800000	138.37	141.17	137.74	140.81	657548.768	1767931199999
1767931200000	140.81	141.08	139.46	139.54	371513.458	1767945599999
1767945600000	139.55	139.68	137.04	138.28	621265.565	1767959999999
1767960000000	138.27	140.89	136.13	138.82	965343.639	1767974399999
1767974400000	138.82	140.25	135.44	135.81	776742.657	1767988799999
1767988800000	135.8	136.45	134.98	135.97	386133.909	1768003199999
1768003200000	135.96	136.69	135.68	136.15	206284.98	1768017599999
1768017600000	136.15	136.34	135.75	136.09	127461.094	1768031999999
1768032000000	136.09	137.05	136.0	136.58	203467.601	1768046399999
1768046400000	136.58	137.04	136.01	136.42	180816.347	1768060799999
1768060800000	136.42	136.71	135.85	136.22	163655.47	1768075199999
1768075200000	136.22	136.27	135.37	135.84	119151.512	1768089599999
1768089600000	135.85	136.47	135.75	136.26	140444.874	1768103999999
1768104000000	136.26	136.43	135.88	136.2	118593.443	1768118399999
1768118400000	136.2	136.91	136.1	136.58	197166.958	1768132799999
1768132800000	136.58	139.55	136.52	138.43	474319.406	1768147199999
1768147200000	138.44	141.6	138.43	139.43	775597.184	1768161599999
1768161600000	139.42	139.77	137.49	139.7	503791.341	1768175999999
1768176000000	139.69	144.4	138.92	142.54	1277457.951	1768190399999
1768190400000	142.54	143.35	141.36	141.41	430457.211	1768204799999
1768204800000	141.42	142.05	139.04	140.03	524699.387	1768219199999
1768219200000	140.02	142.74	138.69	142.58	532621.648	1768233599999
1768233600000	142.58	144.33	140.58	140.99	859921.736	1768247999999
1768248000000	141.0	141.86	138.34	139.22	534962.158	1768262399999
1768262400000	139.21	139.58	137.82	138.74	538089.341	1768276799999
1768276800000	138.75	140.76	138.39	139.97	420710.949	1768291199999
