open_ms,open,high,low,close,volume,close_ms
1767819600000,5.661,5.683,5.656,5.675,149384.91,1767823199999
1767823200000,5.675,5.723,5.657,5.696,137492.43,1767826799999
1767826800000,5.694,5.757,5.667,5.726,104826.97,1767830399999
1767830400000,5.727,5.758,5.69,5.753,109111.26,1767833999999
1767834000000,5.753,5.81,5.736,5.807,206814.42,1767837599999
1767837600000,5.807,5.819,5.733,5.739,157601.08,1767841199999
1767841200000,5.739,5.77,5.667,5.68,123930.98,1767844799999
1767844800000,5.682,5.738,5.667,5.706,129958.66,1767848399999
1767848400000,5.707,5.731,5.7,5.717,112049.85,1767851999999
1767852000000,5.716,5.726,5.513,5.526,404140.4,1767855599999
1767855600000,5.524,5.625,5.485,5.614,642933.35,1767859199999
1767859200000,5.614,5.624,5.54,5.551,217994.09,1767862799999
1767862800000,5.551,5.585,5.493,5.504,306081.01,1767866399999
1767866400000,5.505,5.528,5.454,5.516,384336.38,1767869999999
1767870000000,5.515,5.518,5.441,5.486,441430.63,1767873599999
1767873600000,5.486,5.491,5.449,5.467,182880.5,1767877199999
1767877200000,5.467,5.49,5.456,5.471,124551.44,1767880799999
1767880800000,5.47,5.481,5.39,5.438,542576.4,1767884399999
1767884400000,5.438,5.503,5.401,5.494,333621.62,1767887999999
1767888000000,5.493,5.505,5.413,5.5,292410.79,1767891599999
1767891600000,5.5,5.529,5.472,5.52,256741.44,1767895199999
1767895200000,5.519,5.53,5.485,5.498,175853.43,1767898799999
1767898800000,5.498,5.512,5.447,5.456,124703.81,1767902399999
1767902400000,5.457,5.463,5.406,5.455,115814.0,1767905999999
1767906000000,5.457,5.515,5.456,5.504,73205.79,1767909599999
1767909600000,5.505,5.529,5.465,5.498,108918.03,1767913199999
1767913200000,5.498,5.516,5.48,5.488,66642.29,1767916799999
1767916800000,5.489,5.512,5.486,5.5,86752.31,1767920399999
1767920400000,5.502,5.546,5.445,5.478,219938.3,1767923999999
1767924000000,5.477,5.518,5.463,5.467,105648.56,1767927599999
1767927600000,5.467,5.527,5.46,5.519,115050.22,1767931199999
1767931200000,5.519,5.523,5.482,5.485,120522.56,1767934799999
1767934800000,5.484,5.502,5.469,5.486,56596.76,1767938399999
1767938400000,5.484,5.512,5.466,5.505,109120.49,1767941999999
1767942000000,5.503,5.503,5.467,5.468,109864.26,1767945599999
1767945600000,5.47,5.479,5.35,5.414,1272462.79,1767949199999
1767949200000,5.414,5.47,5.411,5.436,168366.92,1767952799999
1767952800000,5.436,5.47,5.424,5.466,84824.04,1767956399999
1767956400000,5.467,5.478,5.446,5.453,77651.15,1767959999999
1767960000000,5.452,5.461,5.426,5.452,50418.11,1767963599999
1767963600000,5.451,5.511,5.449,5.472,184746.83,1767967199999
1767967200000,5.472,5.483,5.415,5.433,153317.44,1767970799999
1767970800000,5.434,5.57,5.409,5.498,365266.76,1767974399999
1767974400000,5.499,5.568,5.465,5.52,454337.05,1767977999999
1767978000000,5.521,5.635,5.455,5.535,840437.3,1767981599999
1767981600000,5.534,5.539,5.44,5.488,131280.61,1767985199999
1767985200000,5.488,5.488,5.434,5.443,70753.11,1767988799999
1767988800000,5.441,5.482,5.436,5.461,35047.55,1767992399999
1767992400000,5.46,5.492,5.444,5.487,55245.96,1767995999999
1767996000000,5.487,5.49,5.451,5.487,61279.36,1767999599999
1767999600000,5.487,5.492,5.46,5.467,101560.1,1768003199999
1768003200000,5.467,5.476,5.443,5.45,65021.89,1768006799999
1768006800000,5.45,5.487,5.443,5.482,25143.47,1768010399999
1768010400000,5.482,5.482,5.46,5.476,37691.86,1768013999999
1768014000000,5.477,5.478,5.443,5.454,78647.72,1768017599999
1768017600000,5.453,5.459,5.426,5.44,104528.51,1768021199999
1768021200000,5.441,5.476,5.434,5.47,93596.74,1768024799999
1768024800000,5.47,5.524,5.46,5.47,327905.41,1768028399999
1768028400000,5.47,5.519,5.461,5.515,105309.39,1768031999999
1768032000000,5.516,5.536,5.486,5.502,92268.37,1768035599999
1768035600000,5.502,5.509,5.488,5.496,78126.78,1768039199999
